polymer, polymer  SMILES string,polymer MW (g/mol),polymer wt%,intrinsic viscosity (dl/g),polymer surface tension (mN/m),pore maker ,pore maker molecular weight (Da),pore maker wt% (pore maker weight to total weight),additive,additive wt% (additive weight to polymer),organic solvent,solubility parameter (MPa1/2),mean pore radius (nm),overall porosity (%),contact angle (degree)
Polyethersulfone,,58000,20,0.41,42,PVP,,5,PMO-SO3H/SiO2-NR,1,DMF,24.8,6.3,76,71.25
Polyethersulfone,,58000,20,0.41,42,PVP,,5,PMO-SO3H/SiO2-NR,3,DMF,24.8,8.5,81,60
Polyethersulfone,,58000,20,0.41,42,PVP,,5,PMO-SO3H/SiO2-NR,5,DMF,24.8,7.8,79,56.25
Polyethersulfone,,58000,20,0.41,42,PVP,,5,SiO2-PMO,3,DMF,24.8,8,81,58
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,none,0,DMF,24.8,8.2,65,82.3
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,rGO,1.5,DMF,24.8,9.1,70.5,77.6
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,PDAAQ,1.5,DMF,24.8,10.6,74.6,74.7
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,PDAAQ/rGO,0.5,DMF,24.8,9.9,72.5,71.4
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,PDAAQ/rGO,1,DMF,24.8,10.2,73.8,71.1
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,PDAAQ/rGO,1.5,DMF,24.8,10.9,76.7,69.8
Polyvinylidene fluoride,FC(F)=C,470000,14,1.22,29.2,none,,0,PDAAQ/rGO,2,DMF,24.8,9.8,72.2,72.2
Polyphenylsulfone,,53000-59000,15,,,none,,0,none,0,NMP,22.9,33,41.7,72
Polyphenylsulfone,,53000-59000,15,,,none,,0,CuO/gC3N4,0.5,NMP,22.9,35,70.7,53
